id,name,class
mnist_train_10120,0,0
mnist_train_10168,0,0
mnist_train_11834,0,0
mnist_train_11888,0,0
mnist_train_11933,0,0
mnist_train_12168,0,0
mnist_train_12264,0,0
mnist_train_12573,0,0
mnist_train_12869,0,0
mnist_train_13196,0,0
mnist_train_13280,0,0
mnist_train_13582,0,0
mnist_train_1377,0,0
mnist_train_13873,0,0
mnist_train_13916,0,0
mnist_train_14276,0,0
mnist_train_14311,0,0
mnist_train_14717,0,0
mnist_train_14729,0,0
mnist_train_1501,0,0
mnist_train_15795,0,0
mnist_train_15928,0,0
mnist_train_15955,0,0
mnist_train_16105,0,0
mnist_train_16144,0,0
mnist_train_16285,0,0
mnist_train_16363,0,0
mnist_train_16777,0,0
mnist_train_16787,0,0
mnist_train_17048,0,0
mnist_train_18486,0,0
mnist_train_18505,0,0
mnist_train_18926,0,0
mnist_train_19261,0,0
mnist_train_1969,0,0
mnist_train_19818,0,0
mnist_train_20482,0,0
mnist_train_20510,0,0
mnist_train_20584,0,0
mnist_train_20929,0,0
mnist_train_21191,0,0
mnist_train_21308,0,0
mnist_train_21350,0,0
mnist_train_21413,0,0
mnist_train_22453,0,0
mnist_train_22605,0,0
mnist_train_22636,0,0
mnist_train_22816,0,0
mnist_train_22949,0,0
mnist_train_23032,0,0
mnist_train_23136,0,0
mnist_train_23277,0,0
mnist_train_23380,0,0
mnist_train_23589,0,0
mnist_train_23882,0,0
mnist_train_24681,0,0
mnist_train_25024,0,0
mnist_train_25420,0,0
mnist_train_25584,0,0
mnist_train_25750,0,0
mnist_train_26058,0,0
mnist_train_26438,0,0
mnist_train_26722,0,0
mnist_train_26990,0,0
mnist_train_27089,0,0
mnist_train_27628,0,0
mnist_train_28030,0,0
mnist_train_28456,0,0
mnist_train_28740,0,0
mnist_train_28896,0,0
mnist_train_2890,0,0
mnist_train_28992,0,0
mnist_train_29151,0,0
mnist_train_29190,0,0
mnist_train_29862,0,0
mnist_train_30455,0,0
mnist_train_30480,0,0
mnist_train_31026,0,0
mnist_train_31502,0,0
mnist_train_32162,0,0
mnist_train_32313,0,0
mnist_train_32609,0,0
mnist_train_33442,0,0
mnist_train_33512,0,0
mnist_train_34073,0,0
mnist_train_34262,0,0
mnist_train_34457,0,0
mnist_train_34580,0,0
mnist_train_34771,0,0
mnist_train_35064,0,0
mnist_train_3516,0,0
mnist_train_35327,0,0
mnist_train_35400,0,0
mnist_train_35449,0,0
mnist_train_35646,0,0
mnist_train_36031,0,0
mnist_train_36055,0,0
mnist_train_36290,0,0
mnist_train_36331,0,0
mnist_train_36440,0,0
mnist_train_36468,0,0
mnist_train_37047,0,0
mnist_train_38043,0,0
mnist_train_38198,0,0
mnist_train_38693,0,0
mnist_train_3884,0,0
mnist_train_39347,0,0
mnist_train_40150,0,0
mnist_train_40479,0,0
mnist_train_40965,0,0
mnist_train_41052,0,0
mnist_train_41432,0,0
mnist_train_4145,0,0
mnist_train_41490,0,0
mnist_train_42433,0,0
mnist_train_42913,0,0
mnist_train_43423,0,0
mnist_train_43932,0,0
mnist_train_44159,0,0
mnist_train_45061,0,0
mnist_train_45354,0,0
mnist_train_45504,0,0
mnist_train_45513,0,0
mnist_train_45608,0,0
mnist_train_45721,0,0
mnist_train_45830,0,0
mnist_train_46479,0,0
mnist_train_46931,0,0
mnist_train_47005,0,0
mnist_train_47202,0,0
mnist_train_47267,0,0
mnist_train_47371,0,0
mnist_train_47466,0,0
